time,open,high,low,close,Sell,Buy,ATR,RSI
2022-06-29T23:15:00+03:00,20290.5,20350,20252,20257.5,0,0,19880.114808035978,64.91376639533999
2022-06-29T23:30:00+03:00,20257.5,20262.5,20120.5,20138.5,0,0,19880.63766685852,52.629584929992426
2022-06-29T23:45:00+03:00,20138.5,20220,20131.5,20219.5,0,0,19884.634528743052,58.40021508758975
2022-06-30T00:00:00+03:00,20219.5,20287,20190.5,20279,0,0,19931.694057008615,62.05673067907235
2022-06-30T00:15:00+03:00,20279,20340,20235.5,20291.5,0,0,19944.524910024622,62.79656941123192
2022-06-30T00:30:00+03:00,20291.5,20325,20280,20318.5,0,0,20006.343904730056,64.4107765434539
2022-06-30T00:45:00+03:00,20318.5,20318.5,20251,20277.5,0,0,20006.206705287677,60.14332605643009
2022-06-30T01:00:00+03:00,20277.5,20305,20258,20300.5,0,0,20037.99470825289,61.677220991084205
2022-06-30T01:15:00+03:00,20300.5,20307.5,20191,20193,0,0,20038.870286890735,51.66836211618497
2022-06-30T01:30:00+03:00,20193,20204,20145,20182,0,0,20039.235422822872,50.76063415839721
2022-06-30T01:45:00+03:00,20182,20225,20152,20205.5,0,0,20039.89862288999,52.67354552417223
2022-06-30T02:00:00+03:00,20205.5,20206,20070,20115,0,0,20040.218140406287,45.36445276930195
2022-06-30T02:15:00+03:00,20115,20134,20068,20082.5,0,0,20040.15997891002,43.05396567821983
2022-06-30T02:30:00+03:00,20082.5,20130,20068.5,20070.5,0,0,20041.796950687953,42.19933969223298
2022-06-30T02:45:00+03:00,20070.5,20114.5,20038,20104.5,0,0,20045.23701523248,45.50029353210269
2022-06-30T03:00:00+03:00,20104.5,20156.5,20062,20129,0,0,20046.45736433832,47.813103613914464
2022-06-30T03:15:00+03:00,20129,20130.5,20031,20060.5,0,0,20046.118814784888,42.395859312327204
2022-06-30T03:30:00+03:00,20060.5,20102.5,19979.5,20033.5,0,0,20045.44296054936,40.45044260977158
2022-06-30T03:45:00+03:00,20033.5,20062,20016.5,20022,0,0,20045.532538699124,39.616597980464334
2022-06-30T04:00:00+03:00,20022,20069,20005,20059,0,0,20046.789736844832,43.64197177633763
2022-06-30T04:15:00+03:00,20059,20065,19942,20015,0,0,20046.646701928767,40.20916522653233
2022-06-30T04:30:00+03:00,20015,20039.5,19950,20032,0,0,20046.343851718135,42.104013129557195
2022-06-30T04:45:00+03:00,20032,20054,19996,20011,0,0,20045.782800126173,40.400740677092266
2022-06-30T05:00:00+03:00,20011,20052,19992,20035.5,0,0,20051.410158796898,43.28345666898315
2022-06-30T05:15:00+03:00,20035.5,20075.5,20035,20065,0,0,20052.566835286223,46.630742292441965
2022-06-30T05:30:00+03:00,20065,20106,20065,20081,0,0,20052.749609295126,48.40917778616472
2022-06-30T05:45:00+03:00,20081,20087,20056,20068,0,0,20052.80962843183,47.03766223221669
2022-06-30T06:00:00+03:00,20068,20081,20037,20070,0,0,20052.73894411832,47.28510666642158
2022-06-30T06:15:00+03:00,20070,20078.5,20032.5,20078.5,0,0,20052.67471069897,48.388749476572215
2022-06-30T06:30:00+03:00,20078.5,20080,20043.5,20070,0,0,20053.2634610456,47.32180650933334
2022-06-30T06:45:00+03:00,20070,20074,20040,20064.5,0,0,20054.243407300353,46.60572165097921
2022-06-30T07:00:00+03:00,20064.5,20080,20041,20050,0,0,20054.48558513527,44.685888151619544
2022-06-30T07:15:00+03:00,20050,20071.5,20043.5,20052,0,0,20054.57807716149,45.02228944408216
