time,open,high,low,close,Sell,Buy,ATR
2022-03-26T14:00:00+03:00,3119.831045548276,3123.45,3117.2,3120.85,0,0,3124.426834266817
2022-03-26T14:15:00+03:00,3120.3405227741378,3131.2,3117,3125,0,0,3124.637030774512
2022-03-26T14:30:00+03:00,3122.670261387069,3136.45,3122.670261387069,3129.2374999999997,0,0,3125.1434166280305
2022-03-26T14:45:00+03:00,3125.9538806935343,3125.9538806935343,3120.35,3122.7374999999997,0,0,3125.3331647488794
2022-03-26T15:00:00+03:00,3124.345690346767,3124.345690346767,3118.3,3120.6000000000004,0,0,3125.4895484875246
2022-03-26T15:15:00+03:00,3122.4728451733836,3122.4728451733836,3115,3118.2875,0,0,3125.617373801807
2022-03-26T15:30:00+03:00,3120.3801725866915,3120.3801725866915,3106.3,3112.8375000000005,0,0,3125.679648158683
2022-03-26T15:45:00+03:00,3116.608836293346,3124,3109.1,3116.8875,0,0,3125.7592478564
2022-03-26T16:00:00+03:00,3116.748168146673,3126.8,3116.748168146673,3123.4624999999996,0,0,3125.867011822472
2022-03-26T16:15:00+03:00,3120.105334073336,3124.2,3112,3118.475,0,0,3126.4190466000227
2022-03-26T16:30:00+03:00,3119.290167036668,3119.290167036668,3112,3114.0875,0,0,3127.045347012355
2022-03-26T16:45:00+03:00,3116.688833518334,3116.688833518334,3110.4,3112.8875,0,0,3127.245796191861
2022-03-26T17:00:00+03:00,3114.788166759167,3116.2,3110.85,3112.325,0,0,3127.5143102529946
2022-03-26T17:15:00+03:00,3113.5565833795836,3114,3108.6,3111.9625,0,0,3127.5338565183506
2022-03-26T17:30:00+03:00,3112.759541689792,3115.2,3107.95,3112.0249999999996,0,0,3127.5631694954636
2022-03-26T17:45:00+03:00,3112.392270844896,3115.5,3106.15,3112.0125,0,0,3127.58055690798
2022-03-26T18:00:00+03:00,3112.202385422448,3118.85,3112.05,3115.8374999999996,0,0,3127.59861885749
2022-03-26T18:15:00+03:00,3114.019942711224,3117.5,3112.5,3115.9,0,0,3127.7899881024377
2022-03-26T18:30:00+03:00,3114.9599713556117,3124.9,3114.9599713556117,3119.7,0,0,3127.960258315167
2022-03-26T18:45:00+03:00,3117.329985677806,3122.35,3113,3117.875,0,0,3128.091802338956
2022-03-26T19:00:00+03:00,3117.602492838903,3117.602492838903,3110.05,3113.375,0,0,3128.16054167973
2022-03-26T19:15:00+03:00,3115.4887464194517,3120.5,3106.85,3114.6625,0,0,3128.1677264173986
2022-03-26T19:30:00+03:00,3115.0756232097256,3120,3115.0756232097256,3118.275,0,0,3128.3088297486865
2022-03-26T19:45:00+03:00,3116.675311604863,3123.1,3116.675311604863,3120.275,0,0,3128.4261456131044
2022-03-26T20:00:00+03:00,3118.475155802432,3125.85,3118.475155802432,3122.5375,0,0,3128.5991502148363
2022-03-26T20:15:00+03:00,3120.5063279012156,3123.2,3117.55,3121.3875000000003,0,0,3128.7068188423154
2022-03-26T20:30:00+03:00,3120.946913950608,3122.65,3118.45,3120.7125,0,0,3128.774694610073
2022-03-26T20:45:00+03:00,3120.8297069753044,3120.8297069753044,3117.2,3118.5374999999995,0,0,3128.830013546477
2022-03-26T21:00:00+03:00,3119.683603487652,3119.7,3116,3117.25,0,0,3128.896720743027
2022-03-26T21:15:00+03:00,3118.466801743826,3118.466801743826,3113,3115.025,0,0,3128.8427435367707
2022-03-26T21:30:00+03:00,3116.7459008719134,3120.3,3113.35,3116.75,0,0,3128.7079056931784
2022-03-26T21:45:00+03:00,3116.7479504359567,3123.95,3116.7479504359567,3121.175,0,0,3128.6930539776354
