time,open,high,low,close,Sell,Buy,ATR
2022-07-02T00:30:00+03:00,19466.6538127299,19493,19414.5,19451.375,0,0,19521.699345200228
2022-07-02T00:45:00+03:00,19459.01440636495,19468.5,19325,19411.875,0,0,19520.934416175554
2022-07-02T01:00:00+03:00,19435.444703182475,19435.444703182475,19332.5,19365.875,0,0,19519.96567278757
2022-07-02T01:15:00+03:00,19400.659851591237,19400.659851591237,19330.5,19354.125,0,0,19519.245231413042
2022-07-02T01:30:00+03:00,19377.392425795617,19400,19330.5,19373.25,0,0,19518.760065624316
2022-07-02T01:45:00+03:00,19375.32121289781,19400,19263,19337.75,0,0,19518.090354040018
2022-07-02T02:00:00+03:00,19356.535606448902,19356.535606448902,19275,19317.125,0,0,19519.87774679125
2022-07-02T02:15:00+03:00,19336.83030322445,19457,19332,19384.75,0,0,19526.041724698072
2022-07-02T02:30:00+03:00,19360.790151612226,19424,19360.790151612226,19407.375,0,0,19532.891967210886
2022-07-02T02:45:00+03:00,19384.08257580611,19436,19210,19331.125,0,0,19534.770655921355
2022-07-02T03:00:00+03:00,19357.603787903055,19357.603787903055,19190,19285.75,0,0,19535.700061200572
2022-07-02T03:15:00+03:00,19321.676893951528,19380,19263,19321.625,0,0,19536.8686225579
2022-07-02T03:30:00+03:00,19321.650946975766,19333.5,19230,19298.5,0,0,19537.719636967566
2022-07-02T03:45:00+03:00,19310.075473487883,19329.5,19150,19242.625,0,0,19539.70498154856
2022-07-02T04:00:00+03:00,19276.350236743943,19276.350236743943,19140,19178.625,0,0,19538.89984548389
2022-07-02T04:15:00+03:00,19227.48761837197,19264,19175,19217.625,0,0,19538.757089194733
2022-07-02T04:30:00+03:00,19222.556309185988,19292,19217.5,19252,0,0,19539.126959504698
2022-07-02T04:45:00+03:00,19237.278154592994,19276,19211.5,19236.25,0,0,19520.16982260356
2022-07-02T05:00:00+03:00,19236.764077296495,19273.5,19192,19235.75,0,0,19511.49381587268
2022-07-02T05:15:00+03:00,19236.257038648248,19273,19206.5,19239.125,0,0,19488.983413533144
2022-07-02T05:30:00+03:00,19237.691019324124,19237.691019324124,19128.5,19175,0,0,19474.415441914563
2022-07-02T05:45:00+03:00,19206.34550966206,19206.34550966206,19100,19158.25,0,0,19472.533298733877
2022-07-02T06:00:00+03:00,19182.29775483103,19212.5,19164,19185.875,0,0,19457.0680905849
2022-07-02T06:15:00+03:00,19184.086377415515,19200,19141,19165.625,0,0,19427.838608503604
2022-07-02T06:30:00+03:00,19174.855688707758,19174.855688707758,19056,19112,0,0,19423.482604777768
2022-07-02T06:45:00+03:00,19143.42784435388,19143.42784435388,19080,19110.875,0,0,19407.052089243072
2022-07-02T07:00:00+03:00,19127.15142217694,19163,19106,19131.875,0,0,19397.851658537453
2022-07-02T07:15:00+03:00,19129.51321108847,19195,19129.51321108847,19160.75,0,0,19397.035483659518
2022-07-02T07:30:00+03:00,19145.131605544237,19237.5,19145.131605544237,19198.125,0,0,19396.431451415978
2022-07-02T07:45:00+03:00,19171.62830277212,19210.5,19171.62830277212,19195,0,0,19395.35876709952
2022-07-02T08:00:00+03:00,19183.31415138606,19225,19171.5,19202.875,0,0,19394.1570647481
2022-07-02T08:15:00+03:00,19193.09457569303,19291,19193.09457569303,19243.25,0,0,19392.694985353097
2022-07-02T08:30:00+03:00,19218.172287846515,19263,19195,19231.875,0,0,19391.860749819723
2022-07-02T08:45:00+03:00,19225.023643923258,19261.5,19210,19232.75,0,0,19390.861657793197
2022-07-02T09:00:00+03:00,19228.886821961627,19273,19228.886821961627,19247.5,0,0,19388.260112413536
2022-07-02T09:15:00+03:00,19238.193410980813,19270,19232,19245.875,0,0,19386.675539861048
2022-07-02T09:30:00+03:00,19242.034205490407,19242.034205490407,19185.5,19209,0,0,19381.67714540621
2022-07-02T09:45:00+03:00,19225.5171027452,19250,19178,19206.625,0,0,19378.76574912185
2022-07-02T10:00:00+03:00,19216.0710513726,19231,19212,19217.875,0,0,19368.056136088104
2022-07-02T10:15:00+03:00,19216.9730256863,19268.5,19207,19228.75,0,0,19366.022122976276
2022-07-02T10:30:00+03:00,19222.86151284315,19235,19182,19206.625,0,0,19364.885878394605
2022-07-02T10:45:00+03:00,19214.743256421574,19214.743256421574,19103,19152.5,0,0,19361.857878329938
2022-07-02T11:00:00+03:00,19183.621628210785,19183.621628210785,19112.5,19143.625,0,0,19359.82580978395
2022-07-02T11:15:00+03:00,19163.623314105393,19183,19141.5,19166.625,0,0,19358.458930895802
2022-07-02T11:30:00+03:00,19165.124157052698,19177,19110,19143,0,0,19352.529616457872
2022-07-02T11:45:00+03:00,19154.06207852635,19154.06207852635,19066.5,19105.5,0,0,19340.61924996374
2022-07-02T12:00:00+03:00,19129.781039263173,19158.5,19087.5,19124,0,0,19335.84011284442
2022-07-02T12:15:00+03:00,19126.890519631586,19149,18960,19071.375,0,0,19327.64079189239
2022-07-02T12:30:00+03:00,19099.132759815795,19099.132759815795,19023.5,19048.125,0,0,19323.08598300542
2022-07-02T12:45:00+03:00,19073.628879907897,19190.5,19056,19116.375,0,0,19319.834639242377
2022-07-02T13:00:00+03:00,19095.00193995395,19193,19095.00193995395,19167.25,0,0,19318.361249412217
2022-07-02T13:15:00+03:00,19131.125969976973,19189,19122.5,19157.5,0,0,19315.66726908119
2022-07-02T13:30:00+03:00,19144.312984988486,19259,19114.5,19183.625,0,0,19314.07002441359
2022-07-02T13:45:00+03:00,19163.968992494243,19282.5,19163.968992494243,19230.5,0,0,19313.298909280616
2022-07-02T14:00:00+03:00,19197.23449624712,19232.5,19197.23449624712,19219.875,0,0,19312.253935123565
2022-07-02T14:15:00+03:00,19208.554748123563,19269.5,19196.5,19228.25,0,0,19311.225689131214
